file,region,row_type,expected,stt,corrected,n_expected,n_stt,fixed,outcome,mozhi_edits,category_suggested,phonetic_score,category_reviewed
vol22_sql,10,stt_error,twenty,20,20,1,1,no,missed,,non_phonetic_substitution,0.000,
vol22_sql,11,stt_error,need,needs,needs,1,1,no,missed,,out_of_scope,0.911,
vol22_sql,12,stt_error,rotated,restored,restore,1,1,no,changed_wrong,fuzzy: 'restored' -> 'restore',out_of_scope,0.805,
vol22_sql,13,stt_error,runbook,rulebook and,rulebook and,1,2,no,missed,,non_phonetic_substitution,0.458,
vol22_sql,14,stt_error,was,,,1,0,no,missed,,omission,,
vol22_sql,15,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol22_sql,16,stt_error,,not,not,0,1,no,missed,,insertion,,
vol22_sql,17,stt_error,,and,and,0,1,no,missed,,insertion,,
vol22_sql,18,stt_error,that,it,it,1,1,no,missed,,non_phonetic_substitution,0.667,
vol22_sql,19,stt_error,,and,and,0,1,no,missed,,insertion,,
vol22_sql,20,stt_error,service,services,services,1,1,no,missed,,phonetic_substitution,0.960,
vol22_sql,21,stt_error,think the phishing,are thinking wishing,are thinking wishing,3,3,no,missed,,non_phonetic_substitution,0.680,
vol22_sql,22,stt_error,past,passed,passed,1,1,no,missed,,out_of_scope,1.000,
vol22_sql,23,stt_error,a typo domain SQL ICMP PAT WAN JWT IOPS LDAP,the type of domain,the type of domain,10,4,no,missed,,non_phonetic_substitution,0.519,
vol23_api,1,stt_error,,the,the,0,1,no,missed,,insertion,,
vol23_api,2,stt_error,temp,temporary,temporary,1,1,no,missed,,out_of_scope,0.907,
vol23_api,3,stt_error,scheduled,schedule,schedule,1,1,no,missed,,out_of_scope,0.960,
vol23_api,4,stt_error,with,within,within,1,1,no,missed,,out_of_scope,0.911,
vol23_api,5,stt_error,and locked,until off,until off,2,2,no,missed,,non_phonetic_substitution,0.508,
vol23_api,6,stt_error,,is,is,0,1,no,missed,,insertion,,
vol23_api,7,stt_error,wasn't,was not,was not,1,2,no,missed,,non_phonetic_substitution,0.000,
vol23_api,8,stt_error,We think,within,within,2,1,no,missed,,non_phonetic_substitution,0.689,
vol23_api,9,stt_error,outage,outreach,outreach,1,1,no,missed,,non_phonetic_substitution,0.778,
vol23_api,10,stt_error,not,but it's,but it's,1,2,no,missed,,non_phonetic_substitution,0.556,
vol23_api,11,stt_error,our,a,a,1,1,no,missed,,non_phonetic_substitution,0.000,
vol23_api,12,stt_error,Can,When,When,1,1,no,missed,,non_phonetic_substitution,0.667,
vol23_api,13,stt_error,hire's badge,hires managed across,hires managed across,2,3,no,missed,,non_phonetic_substitution,0.491,
vol23_api,14,stt_error,Our uptime,or uptem,or uptem,2,2,no,missed,,out_of_scope,1.000,
vol23_api,15,stt_error,this,the,the,1,1,no,missed,,out_of_scope,0.850,
vol23_api,16,stt_error,reopened,reported this month,reported this month,1,3,no,missed,,non_phonetic_substitution,0.444,
vol23_api,17,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol23_api,18,stt_error,,the,the,0,1,no,missed,,insertion,,
vol23_api,19,stt_error,Friday,trading,trading,1,1,no,missed,,non_phonetic_substitution,0.689,
vol23_api,20,stt_error,that,one domain to,one domain to,1,3,no,missed,,non_phonetic_substitution,0.542,
vol23_api,21,stt_error,,honest,honest,0,1,no,missed,,insertion,,
vol23_api,22,stt_error,we've,we have,we have,1,2,no,missed,,non_phonetic_substitution,0.583,
vol23_api,23,stt_error,sprint,the spread,the spread,1,2,no,missed,,out_of_scope,0.822,
vol23_api,24,stt_error,read,to read,to RAID,1,2,no,changed_wrong,fuzzy: 'read' -> 'RAID',out_of_scope,0.867,
vol23_api,25,stt_error,API URI FTP UAT CPU TLS HSTS,,,7,0,no,missed,,omission,,
vol24_ddos,1,stt_error,widget,weight which it,weight which it,1,3,no,missed,,non_phonetic_substitution,0.472,
vol24_ddos,2,stt_error,We're,we are,we are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol24_ddos,3,stt_error,browser caching,browse for catching,browse for catching,2,3,no,missed,,out_of_scope,0.932,
vol24_ddos,4,stt_error,,time,time,0,1,no,missed,,insertion,,
vol24_ddos,5,stt_error,status page,data speed,data speed,2,2,no,missed,,non_phonetic_substitution,0.663,
vol24_ddos,6,stt_error,traced,trace,trace,1,1,no,missed,,out_of_scope,0.942,
vol24_ddos,7,stt_error,slowdown,slow down,slow down,1,2,no,missed,,out_of_scope,0.947,
vol24_ddos,8,stt_error,stale cache,scale of catch,scale of cache,2,3,no,changed_wrong,fuzzy: 'catch' -> 'cache',phonetic_substitution,0.857,
vol24_ddos,9,stt_error,keys need,key needs,key needs,2,2,no,missed,,out_of_scope,0.880,
vol24_ddos,10,stt_error,shows,should show,should show,1,2,no,missed,,non_phonetic_substitution,0.567,
vol24_ddos,11,stt_error,those,the,the,1,1,no,missed,,out_of_scope,0.850,
vol24_ddos,12,stt_error,,the,the,0,1,no,missed,,insertion,,
vol24_ddos,13,stt_error,We're seeing a memory leak,We are seeing many leaks,We are seeing many leaks,5,5,no,missed,,phonetic_substitution,0.828,
vol24_ddos,14,stt_error,batch job runs,bad chop hits an,bad chop hits an,3,4,no,missed,,non_phonetic_substitution,0.509,
vol24_ddos,15,stt_error,array,area,area,1,1,no,missed,,out_of_scope,1.000,
vol24_ddos,16,stt_error,an upgrade,upgrades,upgrades,2,1,no,missed,,out_of_scope,0.819,
vol24_ddos,17,stt_error,the,,,1,0,no,missed,,omission,,
vol24_ddos,18,stt_error,renew,remove,remove,1,1,no,missed,,non_phonetic_substitution,0.611,
vol24_ddos,19,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol24_ddos,20,stt_error,restart step DDoS SATA HTTPS CRUD IAM QA DMZ,restore system,restore system,9,2,no,missed,fuzzy: 'restore' -> 'restore',non_phonetic_substitution,0.609,
vol25_soap,1,stt_error,staging,stat in,stat in,1,2,no,missed,,non_phonetic_substitution,0.456,
vol25_soap,2,stt_error,change,changed,changed,1,1,no,missed,,phonetic_substitution,0.942,
vol25_soap,3,stt_error,office,of this,of this,1,2,no,missed,,non_phonetic_substitution,0.511,
vol25_soap,4,stt_error,out of,both up,both up,2,2,no,missed,,non_phonetic_substitution,0.467,
vol25_soap,5,stt_error,,the,the,0,1,no,missed,,insertion,,
vol25_soap,6,stt_error,patch that firmware,pass the parameter,pass the parameter,3,3,no,missed,,non_phonetic_substitution,0.783,
vol25_soap,7,stt_error,the weekend rollout,we can roll out,we can roll out,3,4,no,missed,,non_phonetic_substitution,0.622,
vol25_soap,8,regression,read,read,RAID,1,1,no,regression,fuzzy: 'read' -> 'RAID',,,
vol25_soap,9,stt_error,fell,fall,fall,1,1,no,missed,,out_of_scope,1.000,
vol25_soap,10,stt_error,change,changed,changed,1,1,no,missed,,phonetic_substitution,0.942,
vol25_soap,11,stt_error,client's,clients,client,1,1,no,changed_wrong,fuzzy: 'clients' -> 'client',out_of_scope,1.000,
vol25_soap,12,stt_error,our,or,or,1,1,no,missed,,out_of_scope,1.000,
vol25_soap,13,stt_error,check pings intermittently,chips pinks immediately,chipset pinks immediately,3,3,no,changed_wrong,fuzzy: 'chips' -> 'chipset',non_phonetic_substitution,0.794,
vol25_soap,14,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol25_soap,15,stt_error,if,,,1,0,no,missed,,omission,,
vol25_soap,16,stt_error,replication lag is,application ladders,application ladders,3,2,no,missed,,non_phonetic_substitution,0.490,
vol25_soap,17,stt_error,client's network team blocked our,clients networking blog are,client networking blog are,5,4,no,changed_wrong,fuzzy: 'clients' -> 'client',non_phonetic_substitution,0.759,
vol25_soap,18,stt_error,requests,records,records,1,1,no,missed,,out_of_scope,0.893,
vol25_soap,19,stt_error,,client,client,0,1,no,missed,fuzzy: 'client' -> 'client',insertion,,
vol25_soap,20,stt_error,still references a,is still preferences,is still preferences,3,3,no,missed,,non_phonetic_substitution,0.780,
vol25_soap,21,stt_error,we,be,be,1,1,no,missed,,non_phonetic_substitution,0.000,
vol25_soap,22,stt_error,SOAP ARP XML SFTP URL SSH SMTP,,,7,0,no,missed,,omission,,
vol26_rbac,1,stt_error,if,it,it,1,1,no,missed,,non_phonetic_substitution,0.667,
vol26_rbac,2,stt_error,clears,can use,can use,1,2,no,missed,,non_phonetic_substitution,0.633,
vol26_rbac,3,stt_error,tied to,tried,tried,2,1,no,missed,,non_phonetic_substitution,0.750,
vol26_rbac,4,stt_error,outage,outreach,outreach,1,1,no,missed,,non_phonetic_substitution,0.778,
vol26_rbac,5,stt_error,it Support said they'd,them The supports are there to,them The supports are there to,4,6,no,missed,,non_phonetic_substitution,0.737,
vol26_rbac,6,stt_error,breach,branch,branch,1,1,no,missed,,out_of_scope,0.933,
vol26_rbac,7,stt_error,end of,every,every,2,1,no,missed,,non_phonetic_substitution,0.500,
vol26_rbac,8,stt_error,new switch,news which,news which,2,2,no,missed,,out_of_scope,0.940,
vol26_rbac,9,stt_error,yet,,,1,0,no,missed,,omission,,
vol26_rbac,10,stt_error,room,almost,almost,1,1,no,missed,,non_phonetic_substitution,0.567,
vol26_rbac,11,stt_error,isn't on the new cooling,is not one of the calling,is not one of the calling,5,6,no,missed,,out_of_scope,0.887,
vol26_rbac,12,stt_error,confirm,find,find,1,1,no,missed,,non_phonetic_substitution,0.511,
vol26_rbac,13,stt_error,floor That,year The,year The,2,2,no,missed,,non_phonetic_substitution,0.775,
vol26_rbac,14,stt_error,query needs an,queries and,queries and,3,2,no,missed,,out_of_scope,0.873,
vol26_rbac,15,stt_error,We're,We are,We are,1,2,no,missed,,non_phonetic_substitution,0.583,
vol26_rbac,16,stt_error,build,bill,bill,1,1,no,missed,,out_of_scope,0.911,
vol26_rbac,17,stt_error,yet,,,1,0,no,missed,,omission,,
vol26_rbac,18,stt_error,temp,temporary,temporary,1,1,no,missed,,out_of_scope,0.907,
vol26_rbac,19,stt_error,RBAC VPN SIEM SLA CD OS SAN,,,7,0,no,missed,,omission,,
vol27_uefi,1,stt_error,outage,outrage,outrage,1,1,no,missed,,out_of_scope,0.933,
vol27_uefi,2,stt_error,a misconfigured load balancer rule,the miss configured load balance at home,the miss configured load balancer at home,5,7,no,changed_wrong,fuzzy: 'load balance' -> 'load balancer',non_phonetic_substitution,0.735,
vol27_uefi,3,stt_error,auto closed,autocrossed,autocrossed,2,1,no,missed,,out_of_scope,0.879,
vol27_uefi,4,stt_error,resolved,dissolved,dissolved,1,1,no,missed,,out_of_scope,0.867,
vol27_uefi,5,stt_error,help desk is,health risk was,health risk was,3,3,no,missed,,phonetic_substitution,0.802,
vol27_uefi,6,stt_error,outage,outrage,outrage,1,1,no,missed,,out_of_scope,0.933,
vol27_uefi,7,stt_error,is,was,was,1,1,no,missed,,non_phonetic_substitution,0.667,
vol27_uefi,8,stt_error,backed up,packed I restarted,packed I restarted,2,3,no,missed,,non_phonetic_substitution,0.500,
vol27_uefi,9,stt_error,getting logged,hitting blogged,hitting blogged,2,2,no,missed,,non_phonetic_substitution,0.648,
vol27_uefi,10,stt_error,fifteen,15,15,1,1,no,missed,,non_phonetic_substitution,0.000,
vol27_uefi,11,stt_error,Can,When,When,1,1,no,missed,,non_phonetic_substitution,0.667,
vol27_uefi,12,stt_error,,the,the,0,1,no,missed,,insertion,,
vol27_uefi,13,stt_error,this,the,the,1,1,no,missed,,out_of_scope,0.850,
vol27_uefi,14,stt_error,restored fine,restore is signed,restore is signed,2,3,no,missed,fuzzy: 'restore' -> 'restore',non_phonetic_substitution,0.694,
vol27_uefi,15,stt_error,rebuilt,revealed,revealed,1,1,no,missed,,out_of_scope,0.850,
vol27_uefi,16,stt_error,rolled back,roll back,roll backup,2,2,no,changed_wrong,fuzzy: 'back' -> 'backup',out_of_scope,0.967,
vol27_uefi,17,stt_error,release,releases,releases,1,1,no,missed,,out_of_scope,0.942,
vol27_uefi,18,stt_error,throwing errors,thrown at us,thrown at USB,2,3,no,changed_wrong,fuzzy: 'us' -> 'USB',non_phonetic_substitution,0.685,
vol27_uefi,19,stt_error,times,hangs,hangs,1,1,no,missed,,non_phonetic_substitution,0.528,
vol27_uefi,20,stt_error,date range is,data ranges,data ranges,3,2,no,missed,,out_of_scope,0.831,
vol27_uefi,21,stt_error,anything,an event,an event,1,2,no,missed,,non_phonetic_substitution,0.676,
vol27_uefi,22,stt_error,a,the,the,1,1,no,missed,,non_phonetic_substitution,0.000,
vol27_uefi,23,stt_error,UEFI HTTP STP SAML RAID YAML NAS,,,7,0,no,missed,,omission,,
vol28_csv,1,stt_error,deployment,diploma,diploma,1,1,no,missed,,phonetic_substitution,0.933,
vol28_csv,2,stt_error,That's,There is,There is,1,2,no,missed,,non_phonetic_substitution,0.511,
vol28_csv,3,regression,catch,catch,cache,1,1,no,regression,fuzzy: 'catch' -> 'cache',,,
vol28_csv,4,stt_error,edge case,HK's,HK's,2,1,no,missed,,non_phonetic_substitution,0.000,
vol28_csv,5,stt_error,config,configuration,configuration item,1,1,no,changed_wrong,fuzzy: 'configuration' -> 'configuration item',out_of_scope,0.914,
vol28_csv,6,stt_error,blip,clip,CLI,1,1,no,changed_wrong,fuzzy: 'clip' -> 'CLI',non_phonetic_substitution,0.778,
vol28_csv,7,stt_error,cron,con,con,1,1,no,missed,,non_phonetic_substitution,0.611,
vol28_csv,8,stt_error,vendor's,vendors,vendors,1,1,no,missed,,out_of_scope,1.000,
vol28_csv,9,stt_error,,the,the,0,1,no,missed,,insertion,,
vol28_csv,10,stt_error,that,the,the,1,1,no,missed,,out_of_scope,0.850,
vol28_csv,11,stt_error,config,configuration,configuration item,1,1,no,changed_wrong,fuzzy: 'configuration' -> 'configuration item',out_of_scope,0.914,
vol28_csv,12,stt_error,QA,QWER,QWER,1,1,no,missed,,non_phonetic_substitution,0.800,
vol28_csv,13,stt_error,regression,registration,registration,1,1,no,missed,,out_of_scope,0.811,
vol28_csv,14,stt_error,results ranking,result function,result function,2,2,no,missed,,out_of_scope,0.842,
vol28_csv,15,stt_error,on,in,in,1,1,no,missed,,non_phonetic_substitution,0.667,
vol28_csv,16,stt_error,,to state,to state,0,2,no,missed,,insertion,,
vol28_csv,17,stt_error,status update,sub date,sub date,2,2,no,missed,,non_phonetic_substitution,0.665,
vol28_csv,18,stt_error,CSV MFA NAT IMAP CI LAN BIOS,,,7,0,no,missed,,omission,,
vol29_rest,1,stt_error,That,The,The,1,1,no,missed,,out_of_scope,0.850,
vol29_rest,2,stt_error,needs sign,means signing,means signing,2,2,no,missed,,non_phonetic_substitution,0.748,
vol29_rest,3,stt_error,WAN,van,van,1,1,no,missed,,non_phonetic_substitution,0.667,
vol29_rest,4,stt_error,That workaround,The work around,The work around,2,3,no,missed,,non_phonetic_substitution,0.794,
vol29_rest,5,stt_error,but,,,1,0,no,missed,,omission,,
vol29_rest,6,stt_error,root cause,roof cost,roof cost,2,2,no,missed,,phonetic_substitution,0.902,
vol29_rest,7,stt_error,production We're,protection We are,protection We are,2,3,no,missed,,non_phonetic_substitution,0.791,
vol29_rest,8,stt_error,load test,lotus,lotus,2,1,no,missed,,phonetic_substitution,0.867,
vol29_rest,9,stt_error,,the,the,0,1,no,missed,,insertion,,
vol29_rest,10,stt_error,rules got,holds code,holds code,2,2,no,missed,,non_phonetic_substitution,0.532,
vol29_rest,11,stt_error,mailbox,mail,mail,1,1,no,missed,,out_of_scope,0.840,
vol29_rest,12,stt_error,endpoint,end point,endpoint,1,2,yes,fixed,fuzzy: 'end point' -> 'endpoint',phonetic_substitution,0.967,
vol29_rest,13,stt_error,body,order,order,1,1,no,missed,,non_phonetic_substitution,0.583,
vol29_rest,14,stt_error,proxy is caching,proxy's catching,proxy's catching,3,2,no,missed,,phonetic_substitution,0.809,
vol29_rest,15,stt_error,we cleared it,weekly order,weekly order,3,2,no,missed,,non_phonetic_substitution,0.694,
vol29_rest,16,stt_error,,still,still,0,1,no,missed,,insertion,,
vol29_rest,17,stt_error,on,for,for,1,1,no,missed,,non_phonetic_substitution,0.000,
vol29_rest,18,stt_error,intern accidentally force pushed,intent is accidentally forced,intent is accidentally forced,4,4,no,missed,,out_of_scope,0.910,
vol29_rest,19,stt_error,REST SOC VM IPS DNS OAuth DHCP,,,7,0,no,missed,,omission,,
vol30_json,1,stt_error,antivirus,anti virus,anti virus,1,2,no,missed,,out_of_scope,0.967,
vol30_json,2,stt_error,probably,properly,properly,1,1,no,missed,,non_phonetic_substitution,0.787,
vol30_json,3,stt_error,service,server's,server's,1,1,no,missed,,phonetic_substitution,0.953,
vol30_json,4,stt_error,phishing,phasing,phasing,1,1,no,missed,,phonetic_substitution,0.850,
vol30_json,5,stt_error,past,passed,passed,1,1,no,missed,,out_of_scope,1.000,
vol30_json,6,stt_error,a,the,the,1,1,no,missed,,non_phonetic_substitution,0.000,
vol30_json,7,stt_error,was,is,is,1,1,no,missed,,non_phonetic_substitution,0.667,
vol30_json,8,stt_error,odd,all,all,1,1,no,missed,,non_phonetic_substitution,0.000,
vol30_json,9,stt_error,worked fine yesterday,work to find a study,work to find a study,3,5,no,missed,,non_phonetic_substitution,0.690,
vol30_json,10,stt_error,nightly,night,night,1,1,no,missed,,out_of_scope,0.911,
vol30_json,11,stt_error,cluster,nuster,nuster,1,1,no,missed,,non_phonetic_substitution,0.783,
vol30_json,12,stt_error,that node,the load,the load,2,2,no,missed,,out_of_scope,0.805,
vol30_json,13,stt_error,,was,was,0,1,no,missed,,insertion,,
vol30_json,14,stt_error,contractor's,contractors,contractors,1,1,no,missed,,out_of_scope,1.000,
vol30_json,15,stt_error,headers our service depends,the server Service depends,the server service desk,4,4,no,changed_wrong,fuzzy: 'server' -> 'server'; fuzzy: 'Service depends' -> 'service desk',phonetic_substitution,0.839,
vol30_json,16,stt_error,says,sees,sees,1,1,no,missed,,out_of_scope,1.000,
vol30_json,17,stt_error,isn't,is not,is not,1,2,no,missed,,out_of_scope,0.947,
vol30_json,18,stt_error,that outage,the outrage,the outrage,2,2,no,missed,,out_of_scope,0.840,
vol30_json,19,stt_error,billing,the building,the building,1,2,no,missed,,non_phonetic_substitution,0.595,
vol30_json,20,stt_error,JSON SNMP SDK CDN SSO POP3 VLAN,,,7,0,no,missed,,omission,,
